n,allocates.time
0,0
500,71
1000,45
1500,64
2000,73
2500,94
3000,109
3500,118
4000,138
4500,145
5000,176
5500,189
6000,194
6500,208
7000,224
7500,245
8000,240
8500,267
9000,270
9500,288
